Model,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,"(56.66, 0.95)","(56.68, 1.03)","(56.71, 1.19)","(56.88, 1.25)","(16.42, 1.22)","(16.32, 1.09)","(141.76, 0.95)","(10.36, 4.71)","(170.72, 2.25)","(141.79, 1.33)"
emt-dlfr,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,"(55.49, 7.6)","(49.5, 15.44)","(54.42, 8.64)","(48.51, 16.58)","(20.6, 3.65)","(20.36, 3.47)","(138.06, 6.32)","(21.85, 8.29)","(167.61, 5.6)","(137.92, 6.57)"
emt-dlfr,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,"(58.8, 2.33)","(58.79, 2.27)","(58.69, 2.43)","(58.82, 2.36)","(19.0, 3.53)","(18.51, 3.46)","(141.22, 7.08)","(17.16, 8.34)","(170.68, 6.97)","(141.59, 6.02)"
emt-dlfr,"(59.09, 0.77)","(58.6, 0.77)","(58.59, 0.69)","(58.27, 0.69)","(22.69, 0.78)","(21.28, 1.04)","(142.25, 1.89)","(25.26, 2.87)","(168.11, 1.67)","(141.91, 1.94)"
emt-dlfr,"(59.67, 0.66)","(59.43, 0.76)","(59.81, 1.21)","(59.73, 1.46)","(19.29, 2.57)","(18.9, 2.71)","(140.19, 5.31)","(20.19, 4.47)","(167.12, 6.1)","(139.96, 5.09)"
emt-dlfr,"(49.41, 5.04)","(39.07, 12.52)","(47.92, 6.4)","(37.6, 13.97)","(15.16, 0.24)","(15.16, 0.24)","(143.6, 2.89)","(9.46, 2.33)","(168.96, 4.18)","(143.59, 3.01)"
emt-dlfr,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,"(55.05, 1.6)","(53.98, 2.66)","(54.32, 2.04)","(53.41, 3.08)","(16.96, 2.13)","(16.81, 1.92)","(146.65, 3.22)","(11.73, 7.41)","(169.52, 2.08)","(146.3, 2.94)"
emt-dlfr,"(58.21, 1.29)","(58.06, 1.19)","(57.98, 1.0)","(57.96, 0.84)","(20.51, 1.71)","(20.46, 1.74)","(138.7, 1.38)","(14.83, 5.73)","(169.36, 1.12)","(139.2, 1.06)"
emt-dlfr,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,"(58.65, 1.55)","(58.68, 1.57)","(58.99, 1.49)","(59.16, 1.5)","(20.55, 3.65)","(20.02, 3.24)","(137.93, 3.52)","(16.77, 9.92)","(167.69, 3.22)","(138.05, 3.34)"
emt-dlfr,"(59.47, 2.59)","(59.54, 2.58)","(59.65, 2.85)","(59.85, 2.83)","(20.26, 1.72)","(19.83, 1.34)","(137.54, 2.73)","(19.99, 7.73)","(164.94, 3.16)","(137.73, 3.14)"
emt-dlfr,"(52.82, 6.05)","(47.01, 13.84)","(51.98, 7.37)","(46.26, 15.23)","(19.0, 3.13)","(18.85, 2.93)","(143.71, 4.3)","(12.23, 5.0)","(158.04, 4.9)","(143.45, 4.34)"
emt-dlfr,"(57.29, 3.71)","(56.48, 4.31)","(56.71, 4.34)","(56.08, 4.94)","(19.29, 4.5)","(18.95, 4.02)","(140.62, 5.82)","(17.99, 10.18)","(166.74, 5.55)","(141.0, 5.36)"
emt-dlfr,"(59.62, 0.82)","(59.19, 0.9)","(59.4, 0.19)","(59.12, 0.31)","(21.77, 4.65)","(21.24, 4.33)","(139.04, 1.2)","(19.9, 7.12)","(167.24, 1.04)","(139.41, 1.02)"
emt-dlfr,"(60.01, 1.51)","(59.71, 1.46)","(59.6, 1.07)","(59.47, 1.14)","(20.7, 3.79)","(19.87, 3.09)","(141.34, 3.18)","(20.82, 8.01)","(147.92, 2.98)","(141.32, 3.38)"
emt-dlfr,"(52.82, 6.05)","(47.01, 13.84)","(51.98, 7.37)","(46.26, 15.23)","(19.0, 3.13)","(18.85, 2.93)","(143.71, 4.3)","(12.23, 5.0)","(158.04, 4.9)","(143.45, 4.34)"
emt-dlfr,"(57.05, 3.26)","(55.97, 3.96)","(56.05, 3.89)","(55.18, 4.54)","(19.05, 3.54)","(18.9, 3.34)","(143.19, 6.03)","(14.82, 6.33)","(163.4, 6.05)","(143.22, 5.58)"
