Model,Missing_Rate,Seeds,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr,0.0,,"(83.19, 0.6)","(83.13, 0.6)","(85.01, 0.44)","(85.01, 0.43)","(52.92, 1.02)","(46.69, 1.08)","(71.88, 1.25)","(79.2, 0.95)","(71.69, 1.5)","(71.69, 1.5)"
emt-dlfr,0.1,,"(79.88, 1.24)","(79.85, 1.27)","(81.55, 1.08)","(81.59, 1.1)","(48.49, 1.02)","(42.62, 0.56)","(79.1, 0.91)","(75.15, 0.11)","(104.68, 2.16)","(78.93, 0.94)"
emt-dlfr,0.2,,"(78.09, 0.45)","(78.11, 0.45)","(79.27, 0.43)","(79.36, 0.43)","(46.31, 0.3)","(41.2, 0.54)","(85.45, 1.05)","(70.2, 0.5)","(109.31, 1.82)","(85.06, 1.61)"
emt-dlfr,0.3,,"(76.09, 0.9)","(76.12, 0.89)","(77.23, 1.01)","(77.34, 1.0)","(42.95, 1.01)","(38.68, 1.12)","(93.63, 1.8)","(63.69, 1.3)","(119.32, 0.78)","(93.68, 1.56)"
emt-dlfr,0.4,,"(71.38, 0.6)","(71.43, 0.59)","(71.8, 0.87)","(71.94, 0.85)","(37.03, 1.49)","(32.22, 1.05)","(106.01, 3.33)","(54.55, 1.27)","(134.08, 4.68)","(106.19, 4.02)"
emt-dlfr,0.5,,"(66.72, 1.22)","(66.7, 1.19)","(67.84, 1.25)","(67.93, 1.2)","(29.88, 4.37)","(27.79, 3.26)","(120.19, 4.45)","(43.48, 3.25)","(148.38, 5.98)","(120.55, 4.91)"
emt-dlfr,0.6,,"(61.76, 1.6)","(61.59, 1.69)","(62.25, 1.58)","(62.21, 1.59)","(24.49, 3.35)","(23.66, 2.3)","(133.46, 5.21)","(27.49, 6.57)","(162.64, 6.98)","(133.32, 4.91)"
emt-dlfr,0.7,,"(60.06, 1.89)","(59.64, 2.0)","(60.31, 1.76)","(60.01, 1.96)","(24.39, 0.42)","(23.52, 0.14)","(138.92, 3.34)","(27.17, 1.25)","(166.06, 3.6)","(137.8, 3.44)"
emt-dlfr,0.8,,"(56.66, 0.95)","(56.68, 1.03)","(56.71, 1.19)","(56.88, 1.25)","(16.42, 1.22)","(16.32, 1.09)","(141.76, 0.95)","(10.36, 4.71)","(170.72, 2.25)","(141.79, 1.33)"
emt-dlfr,0.9,,"(50.87, 4.83)","(44.1, 12.14)","(49.6, 5.97)","(42.92, 13.31)","(16.28, 1.01)","(16.28, 1.01)","(145.6, 3.83)","(8.12, 0.95)","(174.17, 3.74)","(145.28, 3.83)"
emt-dlfr,1.0,,"(51.8, 2.54)","(48.03, 6.96)","(50.51, 3.4)","(46.93, 7.8)","(15.99, 0.48)","(15.99, 0.48)","(143.95, 2.22)","(8.43, 0.48)","(176.38, 1.14)","(143.54, 2.14)"
emt-dlfr,AUC,,66.9,66.0,67.4,66.6,32.1,29.4,115.2,42.4,141.3,115.0
emt-dlfr,0.0,,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,0.1,,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,0.2,,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,0.3,,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,0.4,,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,0.5,,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,0.6,,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,0.7,,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,0.8,,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,0.9,,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,1.0,,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,AUC,,67.9,67.6,68.5,68.3,31.7,29.1,114.6,43.4,139.6,114.5
emt-dlfr,0.0,,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,0.1,,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,0.2,,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,0.3,,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,0.4,,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,0.5,,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,0.6,,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,0.7,,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,0.8,,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,0.9,,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,1.0,,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,AUC,,67.9,67.6,68.5,68.3,31.7,29.1,114.6,43.4,139.6,114.5
emt-dlfr,0.0,,"(82.46, 0.25)","(82.41, 0.28)","(84.2, 0.07)","(84.21, 0.03)","(51.65, 0.84)","(45.63, 0.43)","(71.99, 0.74)","(79.56, 0.07)","(71.94, 0.79)","(71.94, 0.79)"
emt-dlfr,0.1,,"(80.13, 0.97)","(80.11, 0.93)","(81.81, 1.0)","(81.86, 0.96)","(48.49, 2.18)","(43.05, 1.89)","(79.6, 2.06)","(74.72, 0.62)","(103.22, 1.64)","(79.62, 1.59)"
emt-dlfr,0.2,,"(77.46, 0.69)","(77.49, 0.66)","(78.81, 0.65)","(78.92, 0.62)","(44.95, 1.67)","(40.04, 1.55)","(88.25, 1.58)","(69.32, 0.57)","(111.17, 2.15)","(88.06, 2.32)"
emt-dlfr,0.3,,"(75.36, 0.95)","(75.34, 1.07)","(76.62, 0.5)","(76.68, 0.61)","(39.89, 1.6)","(35.28, 1.17)","(95.36, 1.44)","(63.75, 0.83)","(120.89, 0.51)","(95.73, 1.12)"
emt-dlfr,0.4,,"(72.79, 0.18)","(72.79, 0.26)","(73.58, 0.19)","(73.66, 0.13)","(34.94, 1.08)","(31.29, 1.03)","(106.48, 4.24)","(55.21, 1.17)","(131.27, 4.42)","(105.67, 3.81)"
emt-dlfr,0.5,,"(67.83, 1.73)","(67.82, 1.8)","(68.85, 1.58)","(68.94, 1.63)","(29.3, 2.62)","(27.36, 1.63)","(121.82, 5.06)","(42.76, 4.48)","(148.62, 4.31)","(121.6, 4.69)"
emt-dlfr,0.6,,"(63.9, 1.6)","(63.18, 1.75)","(64.28, 1.93)","(63.68, 1.97)","(27.07, 2.04)","(26.09, 1.73)","(129.1, 4.52)","(34.22, 2.92)","(155.26, 5.37)","(129.01, 5.62)"
emt-dlfr,0.7,,"(59.72, 2.44)","(59.5, 2.25)","(60.16, 2.88)","(60.08, 2.66)","(21.23, 3.7)","(20.8, 3.39)","(135.33, 5.52)","(23.07, 11.98)","(162.16, 8.0)","(135.04, 5.64)"
emt-dlfr,0.8,,"(59.19, 3.46)","(59.16, 3.61)","(58.69, 3.56)","(58.82, 3.7)","(21.48, 3.54)","(20.99, 3.22)","(138.3, 4.77)","(20.22, 9.27)","(167.14, 6.13)","(138.29, 4.72)"
emt-dlfr,0.9,,"(54.67, 2.34)","(53.79, 3.65)","(54.27, 3.2)","(53.57, 4.46)","(15.84, 0.67)","(15.84, 0.67)","(143.44, 2.58)","(7.25, 1.02)","(172.64, 2.38)","(143.16, 2.8)"
emt-dlfr,1.0,,"(53.11, 1.9)","(50.45, 5.25)","(51.98, 2.6)","(49.51, 5.94)","(15.84, 0.59)","(15.84, 0.59)","(145.28, 0.12)","(7.4, 0.66)","(174.89, 1.57)","(145.3, 0.14)"
emt-dlfr,AUC,,67.9,67.6,68.5,68.3,31.7,29.1,114.6,43.4,139.6,114.5
emt-dlfr,0.0,,"(82.94, 1.06)","(82.91, 1.01)","(84.7, 1.28)","(84.72, 1.23)","(52.19, 2.68)","(46.02, 2.65)","(71.81, 1.84)","(79.43, 0.52)","(71.69, 1.85)","(71.69, 1.85)"
emt-dlfr,0.1,,"(79.93, 0.86)","(79.91, 0.83)","(81.3, 1.11)","(81.33, 1.09)","(46.11, 1.42)","(41.4, 1.49)","(80.59, 2.57)","(75.1, 0.87)","(104.6, 3.31)","(80.45, 2.75)"
emt-dlfr,0.2,,"(77.89, 2.35)","(77.9, 2.38)","(78.66, 2.77)","(78.74, 2.79)","(43.93, 1.68)","(38.09, 2.16)","(90.57, 4.89)","(69.12, 0.72)","(114.98, 6.69)","(90.88, 5.39)"
emt-dlfr,0.3,,"(74.35, 0.93)","(74.36, 0.91)","(75.51, 1.5)","(75.61, 1.47)","(37.75, 3.0)","(33.82, 2.16)","(98.39, 3.88)","(61.46, 1.27)","(123.49, 4.72)","(98.5, 4.1)"
emt-dlfr,0.4,,"(72.35, 0.18)","(72.42, 0.18)","(72.87, 0.25)","(73.02, 0.24)","(31.59, 2.97)","(28.38, 1.51)","(109.1, 4.03)","(54.56, 2.46)","(134.81, 4.85)","(109.57, 3.67)"
emt-dlfr,0.5,,"(66.28, 3.24)","(65.93, 3.68)","(66.82, 3.91)","(66.58, 4.34)","(27.5, 3.28)","(25.51, 2.1)","(123.44, 11.67)","(43.06, 5.19)","(150.14, 11.73)","(123.5, 12.16)"
emt-dlfr,0.6,,"(56.22, 6.77)","(51.07, 13.55)","(55.49, 7.99)","(50.43, 14.81)","(22.4, 4.91)","(21.82, 4.28)","(141.03, 4.81)","(22.88, 10.85)","(165.92, 3.54)","(140.45, 4.83)"
emt-dlfr,0.7,,"(60.98, 3.06)","(60.88, 2.9)","(61.13, 3.14)","(61.16, 2.98)","(22.4, 4.54)","(21.28, 3.74)","(134.81, 4.46)","(28.12, 10.58)","(160.16, 3.7)","(134.5, 4.79)"
emt-dlfr,0.8,,"(55.49, 7.6)","(49.5, 15.44)","(54.42, 8.64)","(48.51, 16.58)","(20.6, 3.65)","(20.36, 3.47)","(138.06, 6.32)","(21.85, 8.29)","(167.61, 5.6)","(137.92, 6.57)"
emt-dlfr,0.9,,"(53.4, 5.65)","(47.81, 13.13)","(52.54, 6.78)","(47.03, 14.37)","(16.91, 2.0)","(16.76, 1.8)","(142.73, 3.76)","(10.96, 4.66)","(170.75, 4.18)","(142.22, 3.12)"
